FIPS,Donald Trump,Hillary Clinton,Other,totalvotes,pct_dem,pct_gop,pct_oth
17129,4231.0,1817.0,467.0,6515.0,0.27889485801995395,0.649424405218726,0.07168073676132003
17131,4807.0,3071.0,647.0,8525.0,0.36023460410557184,0.5638709677419355,0.07589442815249267
17133,12629.0,5535.0,1190.0,19354.0,0.2859873927870208,0.6525266094864111,0.06148599772656815
17135,8630.0,3504.0,844.0,12978.0,0.26999537679149327,0.6649714902142086,0.06503313299429804
17137,9076.0,4696.0,1028.0,14800.0,0.3172972972972973,0.6132432432432432,0.06945945945945946
17139,4455.0,1481.0,347.0,6283.0,0.23571542256883654,0.7090561833519019,0.0552283940792615
17141,14352.0,8050.0,1791.0,24193.0,0.33274087545984377,0.5932294465341215,0.0740296780060348
17143,35633.0,38060.0,4810.0,78503.0,0.48482223609288816,0.4539062201444531,0.06127154376265875
17145,6855.0,2462.0,536.0,9853.0,0.24987313508576067,0.6957271896884197,0.054399675225819545
17147,5634.0,2645.0,729.0,9008.0,0.2936278863232682,0.6254440497335702,0.08092806394316164
17149,5754.0,1413.0,363.0,7530.0,0.18764940239043826,0.7641434262948207,0.04820717131474104
17151,1678.0,375.0,89.0,2142.0,0.17507002801120447,0.7833800186741363,0.041549953314659195
17153,1675.0,962.0,98.0,2735.0,0.3517367458866545,0.6124314442413162,0.035831809872029254
17155,1767.0,1147.0,197.0,3111.0,0.36869173899067825,0.5679845708775313,0.06332369013179043
17157,10023.0,3439.0,732.0,14194.0,0.24228547273495843,0.7061434408905172,0.05157108637452445
17159,5739.0,1584.0,361.0,7684.0,0.20614263404476835,0.7468766267568975,0.046980739198334204
17161,26998.0,32298.0,4698.0,63994.0,0.5047035659593087,0.4218833015595212,0.07341313248117011
17163,53857.0,60756.0,5967.0,120580.0,0.5038646541715044,0.4466495272847902,0.04948581854370542
17165,8276.0,2572.0,536.0,11384.0,0.22593113141250878,0.7269852424455376,0.04708362614195362
17167,49944.0,40907.0,7522.0,98373.0,0.4158356459597654,0.5077002836144064,0.07646407042582823
17169,2524.0,1075.0,229.0,3828.0,0.28082549634273773,0.6593521421107628,0.059822361546499475
17171,1966.0,535.0,107.0,2608.0,0.20513803680981596,0.7538343558282209,0.04102760736196319
17173,8229.0,2288.0,493.0,11010.0,0.20781108083560398,0.7474114441416894,0.04477747502270663
17175,1778.0,751.0,214.0,2743.0,0.27378782355085673,0.6481954064892453,0.07801676995989792
17177,11083.0,7768.0,1492.0,20343.0,0.38185125104458534,0.5448065673696112,0.07334218158580347
17179,38707.0,20685.0,5008.0,64400.0,0.32119565217391305,0.6010403726708075,0.0777639751552795
17181,5790.0,2402.0,345.0,8537.0,0.28136347663113503,0.6782242005388309,0.04041232283003397
17183,19087.0,10039.0,1444.0,30570.0,0.32839385017991496,0.6243702976774615,0.047235852142623484
17185,4047.0,1151.0,266.0,5464.0,0.2106515373352855,0.7406661786237189,0.04868228404099561
17187,4275.0,2987.0,545.0,7807.0,0.3826053541693352,0.5475855001921353,0.06980914563852952
17189,5571.0,1448.0,408.0,7427.0,0.19496431937525247,0.7501009829002289,0.05493469772451865
17191,6967.0,1048.0,246.0,8261.0,0.1268611548238712,0.8433603679941896,0.029778477181939232
17193,5640.0,1412.0,283.0,7335.0,0.19250170415814588,0.7689161554192229,0.03858214042263122
17195,12615.0,11035.0,1932.0,25582.0,0.4313579860839653,0.4931201626143382,0.0755218513016965
17197,132720.0,151927.0,16257.0,300904.0,0.5049018956211948,0.44107090633557544,0.05402719804322974
17199,21570.0,8581.0,1701.0,31852.0,0.26940223533844027,0.6771945246766294,0.0534032399849303
17201,55624.0,55713.0,7039.0,118376.0,0.47064438737581943,0.469892545786308,0.059463066837872544
17203,13207.0,5092.0,1565.0,19864.0,0.2563431333064841,0.6648711236407572,0.07878574305275876
