FIPS,Donald Trump,Hillary Clinton,Other,totalvotes,pct_dem,pct_gop,pct_oth
17001,22790.0,7676.0,1485.0,31951.0,0.2402428718975932,0.7132797095552564,0.046477418547150325
17003,1496.0,1262.0,88.0,2846.0,0.44342937456078707,0.5256500351370345,0.030920590302178495
17005,4888.0,2068.0,574.0,7530.0,0.2746347941567065,0.6491367861885791,0.07622841965471447
17007,12282.0,8986.0,1733.0,23001.0,0.3906786661449502,0.5339767836181035,0.07534455023694622
17009,1796.0,476.0,107.0,2379.0,0.20008406893652794,0.7549390500210172,0.044976881042454814
17011,9281.0,6029.0,1261.0,16571.0,0.36382837487176395,0.5600748295214532,0.07609679560678294
17013,1721.0,739.0,111.0,2571.0,0.28743679502139247,0.6693893426682225,0.043173862310385065
17015,4434.0,2447.0,564.0,7445.0,0.32867696440564137,0.5955674949630625,0.07575554063129618
17017,3216.0,1621.0,287.0,5124.0,0.3163544106167057,0.6276346604215457,0.056010928961748634
17019,33368.0,50137.0,8123.0,91628.0,0.5471799013402017,0.36416815820491555,0.08865194045488278
17021,10543.0,3992.0,924.0,15459.0,0.2582314509347306,0.6819975418849861,0.05977100718028333
17023,5622.0,1877.0,429.0,7928.0,0.23675580221997983,0.7091321897073662,0.054112008072653886
17025,5021.0,1020.0,309.0,6350.0,0.16062992125984252,0.7907086614173229,0.048661417322834646
17027,12412.0,3945.0,1062.0,17419.0,0.2264768356392445,0.7125552557552098,0.06096790860554567
17029,13003.0,7309.0,1551.0,21863.0,0.3343091067099666,0.5947491195169922,0.07094177377304121
17031,453287.0,1611946.0,93382.0,2158615.0,0.7467501152359267,0.20998973879084507,0.043260145973228206
17033,6277.0,1992.0,459.0,8728.0,0.22823098075160403,0.719179651695692,0.05258936755270394
17035,4206.0,1031.0,330.0,5567.0,0.18519849110831688,0.7555236213400395,0.059277887551643614
17037,19091.0,20466.0,4043.0,43600.0,0.46940366972477066,0.43786697247706424,0.09272935779816514
17039,5077.0,1910.0,556.0,7543.0,0.2532149012329312,0.6730743735914092,0.07371072517565955
17041,5698.0,1949.0,522.0,8169.0,0.2385848941118864,0.6975149957155099,0.06390011017260375
17043,166415.0,228622.0,33732.0,428769.0,0.5332055255860382,0.3881227420825666,0.07867173233139522
